Title,Overall_income,Budget,Rating,Genre,Languages,Countries,Countries_GDP
Hotel Mumbai,21132855,17300000,R,Thriller/Suspense,"['English', 'Hindi', 'Persian', 'Punjabi', 'Russian', 'Urdu']",['Australia'],1687713000000.0
Malmoi,21099312,0,,Drama,['Korean'],['South Korea'],1709232000000.0
A Rainy Day in New York,20229513,0,PG-13,Romantic Comedy,['English'],['United States'],26949643000000.0
Yedinci Koğuştaki Mucize,20145623,0,,Drama,['Turkish'],['Turkey'],1154600000000.0
Gekijouban Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,19790000,0,,Adventure,['Japanese'],['Japan'],4230862000000.0
Hors normes,19314289,0,,Drama,['French'],['France'],3049016000000.0
Xia Yi Ren: Qian Ren,19005956,0,,Drama,['Mandarin'],"['China', 'Taiwan']",18452829000000.0
Les invisibles,18930111,0,,Comedy,['French'],['France'],3049016000000.0
J’accuse,18875065,0,,Drama,['French'],"['France', 'Italy']",5235098000000.0
Les misérables,18849747,0,R,Drama,['French'],['France'],3049016000000.0
Greta,18745868,0,R,Thriller/Suspense,['English'],"['Ireland', 'United States']",27539212000000.0
Xiao zhu pei qi guo da nian,18653041,0,G,Adventure,['Mandarin'],['China'],17700899000000.0
Black Christmas,18526087,5000000,PG-13,Horror,['English'],"['New Zealand', 'United States']",27199058000000.0
Kaguya-sama: Love Is War,18516460,0,,Romantic Comedy,['Japanese'],['Japan'],4230862000000.0
Motherless Brooklyn,18477276,26000000,R,Drama,['English'],['United States'],26949643000000.0
Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,18321683,0,,Adventure,['Japanese'],['Japan'],4230862000000.0
The Lighthouse,18263746,4000000,R,Horror,['English'],"['Canada', 'United States']",29067448000000.0
Blinded by the Light,18136756,15000000,PG-13,Drama,['English'],['United Kingdom'],3332059000000.0
"Paw Patrol: Ready, Race, Rescue!",17955101,0,,Adventure,['English'],['Canada'],2117805000000.0
Poms,17901314,10000000,PG-13,Comedy,['English'],['United States'],26949643000000.0
Beullaekmeoni,17849132,0,,Thriller/Suspense,['Korean'],['South Korea'],1709232000000.0
Politseyskiy s Rublyovki. Novogodniy bespredel 2,17318733,0,,Comedy,['Russian'],['Russia'],1862470000000.0
Lian Zheng Feng Yun,17314737,0,,Thriller/Suspense,['Cantonese'],['Hong Kong'],385546000000.0
Jeungin,17214392,0,,Drama,['Korean'],['South Korea'],1709232000000.0
Padre no hay mas que uno,17172256,0,,Comedy,['Spanish'],['Spain'],1582054000000.0
Il Primo Natale,17028644,0,,Comedy,['Italian'],['Italy'],2186082000000.0
Shang Hai Bao Lei,16923672,0,,Drama,"['English', 'Mandarin']",['China'],17700899000000.0
Jue Sheng Shi Ke,16841504,0,G,Drama,"['English', 'Mandarin']",['China'],17700899000000.0
Total Dhamaal,16688123,0,,Comedy,['Hindi'],['India'],3732224000000.0
tajja: won aidey jaek,16556995,0,,Drama,['Korean'],['South Korea'],1709232000000.0
Sabaha,16467544,0,,Thriller/Suspense,['Korean'],['South Korea'],1709232000000.0
Xiao Q,16461652,0,,Drama,['Cantonese'],['Hong Kong'],385546000000.0
Archimedes no Taisen,16454674,0,,Action,['Japanese'],['Japan'],4230862000000.0
Prityazhenie 2,16433163,0,,Drama,['Russian'],['Russia'],1862470000000.0
PLAYMOBIL,16288031,75000000,PG,Adventure,['English'],"['Canada', 'France', 'Germany']",9596659000000.0
Nanatsu no kaigi,16083213,0,,Drama,['Japanese'],['Japan'],4230862000000.0
Shinui Han Soo: Gwisoopyeon,15993710,0,,Action,['Korean'],['South Korea'],1709232000000.0
The Kitchen,15779261,38000000,R,Drama,['English'],['United States'],26949643000000.0
The Dead Don’t Die,15744054,0,R,Horror,['English'],"['Sweden', 'United States']",27546753000000.0
Trouble,15568692,0,,Adventure,['English'],"['Canada', 'Cayman Islands', 'United States']",29073257000000.0
Au nom de la terre,15528468,0,,Drama,['French'],"['Belgium', 'France']",3676527000000.0
Nada a Perder 2,15400333,0,PG-13,Drama,['Portuguese'],['Brazil'],2126809000000.0
Miss Bala,15364632,15000000,PG-13,Action,['English'],"['Mexico', 'United States']",28761111000000.0
The Fable,15184913,0,,Action,['Japanese'],['Japan'],4230862000000.0
Recep Ivedik 6,14968633,0,,Comedy,['Turkish'],['Turkey'],1154600000000.0
Cui mian · cai jue,14917516,0,G,Action,"['Cantonese', 'Mandarin']","['China', 'Hong Kong']",18086445000000.0
Nicky Larson: Le Parfum De Cupidon,14866890,0,,Multiple Genres,"['English', 'French', 'Spanish']",['France'],3049016000000.0
Naeaneui Geunom,14569310,0,,Comedy,['Korean'],['South Korea'],1709232000000.0
Si yo fuera rico,14240702,0,,Comedy,['Spanish'],['Spain'],1582054000000.0
La vie scolaire,14178920,0,,Comedy,"['Arabic', 'French']",['France'],3049016000000.0
La belle époque,14162451,0,R,Comedy,['French'],['France'],3049016000000.0
Shu dan ying xiong,13994187,0,G,Drama,['Mandarin'],['China'],17700899000000.0
"Cheonmun: Modneunda, Doors to Heaven",13955219,0,,Drama,['Korean'],['South Korea'],1709232000000.0
Kalank,13932430,0,,Drama,['Hindi'],['India'],3732224000000.0
Dabangg 3,13553861,0,,Action,"['Hindi', 'Kannada', 'Tamil', 'Telugu']",['India'],3732224000000.0
bbaengban,13551495,0,,Action,['Korean'],['South Korea'],1709232000000.0
Mientras dure la guerra,13475475,0,,Drama,['Spanish'],"['Argentina', 'Spain']",2203887000000.0
"Misz masz, czyli kogel-mogel 3",13133367,0,,Romantic Comedy,['Polish'],['Poland'],842172000000.0
